SKUID,Description,QTY Sold,Total,Vat,Discount,Date
5.01E+12,Night Time Sleep Aid 25mg 20 Tabs,1,3.89,0.65,0,01/05/2025
5.00E+12,Nurofen 200mg Caplets,1,2.43,0.41,0,01/05/2025
3.09E+12,Bic 1 Sens 5pk,2,1.78,0.3,0,01/05/2025
8.70E+12,CLAIROL nice n easy care colour dark brown 4,1,7.99,1.33,0,01/05/2025
96043509,Halls Citrus sf,2,1.7,0.28,0,01/05/2025
5.03E+12,Halls Soothers S/Berry,1,0.85,0.14,0,01/05/2025
5.01E+12,Rennie Tabs 24 Peppermint,1,3.09,0.52,0,01/05/2025
5.02E+12,Valupak Multivit/iron Tabs 50 Tablets,1,1.48,0.25,0,01/05/2025
5.06E+12,Vizulize Dry Eyes Intensive Drops 10ml,2,9.18,1.54,0,01/05/2025
3.57E+12,Benylin Mucus Relief Ngt 150ml,1,9.09,1.52,0,01/05/2025
8.71E+12,COLGATE toothpaste total freshening 75ml,1,3.5,0.58,0,01/05/2025
5.03E+12,Halls Soothers Peach,2,1.7,0.28,0,01/05/2025
33984006232,MENOPRIME,1,7.95,1.33,0,01/05/2025
5.01E+12,Calamine Lotion 200ml,2,6.58,1.1,0,01/05/2025
5.06E+12,CO CODAMOL,1,5.99,1,0,01/05/2025
96091722,Fishermans Friend,1,0.79,0.13,0,01/05/2025
5.06E+12,LORATADINE 10MG,1,3.73,0.62,0,01/05/2025
5.01E+12,Migraleve Complete 24 Tabs,1,13.49,2.25,0,01/05/2025
5.02E+12,PARACETAMOL CAPS 500mg 16,2,1.1,0.18,0,01/05/2025
5.00E+12,Piriton Syrup 2mg/5ml 150ml,5,29.95,4.8,1.2,01/05/2025
7.61E+12,RICOLA lozenges sugar free blackcurrant 45g,4,5.8,0.96,0,01/05/2025
5.06E+12,TEATREE & PEPPERMINT FOOT PACK,1,2.5,0.42,0,01/05/2025
4.01E+12,EUCERIN dry skin with lactate replenshing face cream 5% 50ml,1,13.75,2.29,0,01/05/2025
6.10E+11,NAIL POLISH REMOVER ACETONE FREE,1,1.49,0.25,0,01/05/2025
5.02E+12,Peptac Liquid,1,5.92,0.99,0,01/05/2025
5.03E+12,PRETTY COTTON WOOL BALLS,1,1,0.17,0,01/05/2025
5.06E+12,Ultra Chlora Blkcrt Spry 15ml,1,6.15,1.03,0,01/05/2025
