SKUID,Description,QTY Sold,Total,Vat,Discount,
5.01735E+12,PERRIGO heartburn & acid reflux control capsules 20mg  14,1,6.99,1.17,0,02/05/2025
5.0002E+12,Piriton Syrup 2mg/5ml 150ml,2,11.98,2,0,02/05/2025
7.6107E+12,RICOLA lozenges sugar free raspberry mint 45g,1,1.45,0.24,0,02/05/2025
5.06012E+12,TEATREE & PEPPERMINT FOOT PACK,1,2.5,0.42,0,02/05/2025
5.06006E+12,ALMUS erectile dysfunction relief tablets f/c 50mg  8,1,26.99,4.5,0,02/05/2025
5.06006E+12,ALMUS sleep aid tablets 50mg  20,1,5.49,0.92,0,02/05/2025
5.06012E+12,CHLORAMPHENICOL EYE OINTMENT,1,5.58,0.93,0,02/05/2025
5.02407E+12,CO-Codamol 32s,3,11.97,2.01,0,02/05/2025
5.00016E+12,Gaviscon Peppermint Tabs 48,1,8,1.33,0,02/05/2025
5.01131E+12,Ibuprofen 400mg 48s,1,4.99,0.83,0,02/05/2025
6.00955E+12,KEDLEY PLANTAR FASCIA SLEEVES MEDIUM,1,14.99,2.5,0,02/05/2025
5.01267E+12,Ovex Family Pack 4 Tabs,1,13.29,2.22,0,02/05/2025
8.00184E+12,Pampers Sensitive Baby Wipes 52s,2,2.4,0.4,0,02/05/2025
5.01712E+12,Paracetamol Caplets 32,3,4.5,0.75,0,02/05/2025
7.6107E+12,Ricola Drops 45g S/f Elderflower Box,1,1.45,0.24,0,02/05/2025
5.01262E+12,SOLPADEINE MAX 24,2,18.14,3.02,0,02/05/2025
5.02487E+12,Valupak Vit D3 1000iu 60s,1,1.14,0.19,0,02/05/2025
5.01737E+12,CALYPSO sun protection continuous spray spf30 175ml,2,14.98,2.5,0,02/05/2025
5.01267E+12,Daktarin Cream,1,4.99,0.83,0,02/05/2025
5.01735E+12,Galpharm Cold Sore Crm 2g Cold Sore Cream  5% W/w,2,5.98,1,0,02/05/2025
5.01638E+12,IBUGEL gel 5.0%w/w 100g,1,7.79,1.3,0,02/05/2025
5.01737E+12,MINERAL SUN STICK,2,6.98,1.16,0,02/05/2025
5.06008E+12,OLIVE OIL,1,2.69,0.45,0,02/05/2025
5.0235E+12,PEPTAC LIQUID antacid liquid peppermint 80mg/5ml/250mg/5ml/133.5mg/5ml 500ml,1,5.92,0.99,0,02/05/2025
5.01262E+12,SOLPADEINE MAX SOL 24,6,51,8.52,0,02/05/2025
5.06002E+12,Ultra Chlora Cherry Spy 15ml,1,6.15,1.03,0,02/05/2025
5.06006E+12,ALMUS hayfever & allergy relief tablets 10mg  30,1,2.49,0.42,0,02/05/2025
5.01262E+12,Beconase Hayfever Nasal Spray 0.05% 180 Doses,1,10.99,1.83,0,02/05/2025
6.00116E+12,Bio Oil 60ml,1,12.9,2.15,0,02/05/2025
5.01737E+12,CALYPSO sun protection scalp protector SPF30 50ml,1,3.99,0.67,0,02/05/2025
50357475,Fishermens Friend Cherry Loz 25g,1,0.79,0.13,0,02/05/2025
8.09958E+11,MEDIHONEY,1,8.85,1.48,0,02/05/2025
5.01863E+12,SAFE & SOUND medicine organisers 4 times daily coloured pill box,1,6.85,1.14,0,02/05/2025
5.03914E+12,SKIN CLOSURE STRIPS,2,5.98,1,0,02/05/2025
5.01267E+12,STUGERON 15 TABS,1,5.29,0.88,0,02/05/2025
5.01701E+12,SUDOCREM ANTISEPT CRM 125G antiseptic cream,1,4.35,0.73,0,02/05/2025
42182627,VASELINE PETRO JELLY 50ML,2,2.78,0.46,0,02/05/2025
