"SKUID","Description","QTY Sold","Total","Vat","Discount"
"5000158065703","Lemsip Max Cold/flu Sach 5 Blackcurrant","2","7.78","1.30","0.00"
"5031413979909","STRAWBERRY LIP BALM","2","3.98","0.66","0.00"
"5000488201352","Arnicare Crm 50g","2","17.38","2.90","0.00"
"5010123722708","Calpol Inf S/f 120mg/5ml 100ml","2","9.18","1.54","0.00"
"5018632285776","DENTAL FLOSS PICKS","2","6.98","1.16","0.00"
"87108132","MENTOS","4","2.60","0.44","0.00"
"5010441007235","Night Time Sleep Aid 25mg 20 Tabs","2","7.78","1.30","0.00"
"5052197017724","Scholl Frsh Stp Foot Spr 150ml","2","7.98","1.34","0.00"
"7322540574890","Tena Pants Super Large","2","26.50","0.00","0.00"
"5000283662211","Allevia Fexofenadine","2","20.98","3.50","0.00"
"5010123734039","Benylin Day & Night Cold Treatment Tablets 25mg /500mg /500mg /60mg  16","2","11.98","2.00","0.00"
"5010123667320","Calpol Six Plus Sf 100ml","2","10.98","1.84","0.00"
"5012617002136","CO-CODAMOL 8/500MG","4","15.96","2.68","0.00"
"7350087737003","E45 itch relief gel 100ml","2","19.98","3.34","0.00"
"5011309267211","Ibuprofen 400mg Tablets","2","5.58","0.94","0.00"
"3331300097382","Sterimar Congest Rlf Spy 50ml","2","9.98","1.66","0.00"
"5012617001986","ZIPAMOL PLUS effervescent tablets 8/500mg  32","2","11.98","2.00","0.00"
"5010605054099","Canesten Internal Cream","2","25.98","4.34","0.00"
"5011309055719","Clotrimazole 1% Cream","2","8.58","1.44","0.00"
"4005800042775","Elastoplast Water Resis 10s","2","3.90","0.66","0.00"
"6001159118497","BIO-OIL dry skin gel 200ml","2","29.98","5.00","0.00"
"4005800030611","Eplast Tough 12","2","6.78","1.14","0.00"
"5018632203626","SHELL NAIL BRUSH","2","2.58","0.44","0.00"
"5012616267994","SOLPADEINE MAX SOL 24","4","34.00","5.68","0.00"
"50601714","CLOVE OIL","2","6.20","1.04","0.00"
"50658053","Halls Cherry","2","1.70","0.28","0.00"
"5016870224366","KINETIK BLOOD PRESSURE MONITOR","2","49.98","8.34","0.00"
"5000158105591","NUROFEN PLUS TABLETS 32","2","22.58","3.76","0.00"
"999","Prescriptions Nhs","80","792.00","0.00","0.00"
"3574660606027","SUDAFED DECONG TABS 12s","2","9.58","1.60","0.00"
"5017848254927","BELLS OTC medicines analgesics paracetamol caplets 500mg  32","2","3.00","0.50","0.00"
"8001090036629","Clearblue _brand Clearblue Early Detecti Early Detection Visual","2","22.98","3.84","0.00"
"5025135118272","MALIBU SPF 30 LIP BALM 3PK WATERMELON/MINT/VANILLA","2","5.98","1.00","0.00"
"8004395111718","MARVIS WHITENING MINT TOOTHPASTE 85ML","2","18.00","2.40","3.60"
"5060025370033","Orajel Ex Dental Gel 5.3g","2","12.98","2.16","0.00"
"998","Prescriptions Private","6","119.50","0.00","0.00"
"5018632279492","SHARPENER","2","2.46","0.42","0.00"
"5012616268007","SOLPADINE PLUS 24","2","14.54","2.42","0.00"
"5010724526149","Femfresh Wipes 25s","2","5.98","1.00","0.00"
"5011417590928","OPTREX eye wash multi action 100ml","2","10.78","1.80","0.00"
"5060025370026","Orajel Mouth Gel 10% Blue 5.3g","6","28.74","4.80","0.00"
"5024874016535","Valupak Magnesium 187.5mg 30","2","2.28","0.38","0.00"
"5016379114007","Bazuka Extra Gel 6g","2","16.00","2.66","0.00"
"721107353973","Kliar Vax Ear Drops","2","7.94","1.32","0.00"
"5055144201658","PARACETAMOL CAPSULES 32S","4","8.00","1.34","0.00"
"3574660534887","Sudafed Block Nose Spray 15ml","2","11.58","1.94","0.00"
"3574661692289","SUDAFED PLUS blocked nose spray 50mg/ml/1mg/ml 10ml","2","13.98","2.34","0.00"
"5055382306047","ALVITA PREGNANCY TEST TWIN","2","7.98","1.34","0.00"
"5010605055508","Canesbalance Bv Gel 7s","2","32.38","5.40","0.00"
"083078911171","CARMEX MOIST LIP BLM4.25G","2","6.00","1.00","0.00"
"5018632294464","EMERY BOARD","2","2.98","0.50","0.00"
"7311620012964","LAMISIL 1% ONCE","2","21.98","3.66","0.00"
"809958002018","MEDIHONEY","4","35.40","5.92","0.00"
"5060421930602","APRODERM ointment 50g","2","2.90","0.48","0.00"
"5060406862706","BAG FOR LIFE","2","4.98","0.84","0.00"
"5024071310115","CO-Codamol 32s","2","7.98","1.34","0.00"
"5016379296703","Iglu Pastilles S/free Past 24s","2","12.24","2.04","0.00"
"5054563947178","OTRIVINE nasal spray with khone spray sinusitis relief 0.1% 10ml","2","11.00","1.84","0.00"
"5012674049907","Ovex Family Pack 4 Tabs","4","53.16","8.86","0.00"
"5060010283980","PHORPAIN GEL 10% 50G","2","12.98","2.16","0.00"
"5012616267659","SOLPADEINE MAX 24","6","54.42","9.06","0.00"
"5016379400001","4head Top H/ache Rel Stk 3.6g","2","12.16","2.02","0.00"
"3086127500934","Bic Disp Raz Twin Lady 5 Twin Lady","2","3.90","0.66","0.00"
