"SKUID","Description","QTY Sold","Total","Vat","Discount"
"945","£1 Lines","2","2.00","0.34","0.00"
"5055382306535","ALVITA diagnostic thermometers flexible digital MT509","1","3.99","0.67","0.00"
"5010605142741","BEPANTHEN NAPPY OINT 100g","1","9.19","1.53","0.00"
"5010123667320","Calpol Six Plus Sf 100ml","1","5.49","0.92","0.00"
"5026468744732","CHLORAMPHENICOL 1% ANTIBIOTIC EYE OINTMENT","1","10.35","1.73","0.00"
"5060464500008","Ibuprofen 16s","1","0.95","0.16","0.00"
"5011309267211","Ibuprofen 400mg Tablets","2","5.58","0.94","0.00"
"5038483000076","Paramol Ets 24 Tabs","1","8.49","1.42","0.00"
"5060100930206","SURESIGN","1","2.49","0.42","0.00"
"5010123730642","Calpol Six Plus Sfree 200ml","2","17.98","3.00","0.00"
"5011501040100","Deep Heat Heat Rub 100g Heat Rub","1","5.45","0.91","0.00"
"5017007052302","Fluconazole 150mg Capsule","1","3.99","0.67","0.00"
"5018632199516","MOTION SICKNESS BANDS","1","6.00","1.00","0.00"
"3574661316123","OVEX SUSPENSION FAMILY PK 30ml","1","15.99","2.67","0.00"
"5054563076137","Piriton Allergy Tabs 4mg 60 Allergy Tablets  4mg","1","8.49","1.42","0.00"
"5012616170201","T.c.p. Lqd 100ml","1","5.99","1.00","0.00"
"850005892007","VITAL PROTEINS COLLAGEN PEPTIDES","1","25.00","4.17","0.00"
"9341394006072","AEROPAD low adherent pad 5cm x 5cm 5","1","2.50","0.42","0.00"
"5035559002507","AVOMINE 25MG TAB","1","7.58","1.26","0.00"
"6921756492434","FLOWFLEX lateral flow test kits  5","2","18.00","3.00","0.00"
"4031626710734","Hylo Tear Eye Drops","1","15.30","2.55","0.00"
"5000158065703","Lemsip Max Cold/flu Sach 5 Blackcurrant","1","3.89","0.65","0.00"
"5010123703585","LISTERINE antiseptic mouthwash coolmint 500ml ","1","4.54","0.76","0.00"
"5000223414658","MELOLIN 5CMX5CM","1","2.10","0.35","0.00"
"7323190198351","Mepore Dressing 7x8cm","3","1.05","0.18","0.00"
"5018632152641","SAFE & SOUND first aid bandages & dressings absorbent lint 25g","1","3.24","0.54","0.00"
"5011417579169","Senokot Tabs 7.5mg 20pk","1","3.55","0.59","0.00"
"5031413979909","STRAWBERRY LIP BALM","1","1.99","0.33","0.00"
